object_name,okato,oktmo,Год,Всего,Мужчины,Женщины,Городское население,Сельское население,0–17 лет,18 лет и старше,Моложе трудоспособного,В трудоспособном возрасте,Старше трудоспособного,Население пенсионного возраста
Амурская область,10000000,10000000,2023,756198.0,357369.0,398829.0,517053.0,239145.0,170213.0,585985.0,151976.0,441975.0,162247.0,99492.0
Амурская область,10000000,10000000,2024,750083.0,354032.0,396051.0,513956.0,236127.0,167087.0,582996.0,148757.0,446640.0,154686.0,101856.0
Амурская область,10000000,10000000,2025,753046.0,358255.0,394791.0,513747.0,239299.0,165196.0,587850.0,145434.0,451948.0,155664.0,104907.0
Амурская область,10000000,10000000,2000_avg,929331.0,451440.0,477892.0,618393.0,310938.0,239910.0,689422.0,203425.0,580238.0,145668.0,72587.0
Амурская область,10000000,10000000,2001_avg,917218.0,444143.0,473075.0,607916.0,309302.0,228442.0,688776.0,193818.0,578100.0,145300.0,72585.0
Амурская область,10000000,10000000,2002_avg,906212.0,437530.0,468683.0,597420.0,308792.0,218271.0,687942.0,184957.0,575839.0,145416.0,73832.0
Амурская область,10000000,10000000,2003_avg,894412.0,430142.0,464271.0,590710.0,303702.0,209855.0,684558.0,176296.0,573484.0,144632.0,75895.0
Амурская область,10000000,10000000,2004_avg,880900.0,421584.0,459315.0,584131.0,296768.0,201648.0,679252.0,168622.0,568294.0,143983.0,78200.0
Амурская область,10000000,10000000,2005_avg,867537.0,413658.0,453880.0,576502.0,291036.0,192993.0,674544.0,162008.0,561048.0,144482.0,80152.0
Амурская область,10000000,10000000,2006_avg,855779.0,406995.0,448784.0,569098.0,286682.0,185090.0,670690.0,156102.0,553492.0,146185.0,82100.0
Амурская область,10000000,10000000,2007_avg,847396.0,402418.0,444978.0,564196.0,283200.0,179092.0,668304.0,151912.0,546104.0,149380.0,83584.0
Амурская область,10000000,10000000,2008_avg,841580.0,399400.0,442180.0,560680.0,280899.0,174584.0,666995.0,150320.0,538594.0,152666.0,83528.0
Амурская область,10000000,10000000,2009_avg,836887.0,396986.0,439902.0,557319.0,279568.0,171700.0,665187.0,150542.0,530349.0,155996.0,81482.0
Амурская область,10000000,10000000,2010_avg,831782.0,394489.0,437294.0,554798.0,276985.0,170254.0,661529.0,150918.0,520891.0,159973.0,78784.0
Амурская область,10000000,10000000,2011_avg,824644.0,390780.0,433864.0,551882.0,272761.0,169987.0,654656.0,151450.0,509628.0,163564.0,76576.0
Амурская область,10000000,10000000,2012_avg,817895.0,387153.0,430742.0,548621.0,269274.0,171119.0,646776.0,153300.0,498100.0,166494.0,75880.0
Амурская область,10000000,10000000,2013_avg,811944.0,384026.0,427919.0,545949.0,265996.0,172612.0,639332.0,155868.0,486672.0,169406.0,77190.0
Амурская область,10000000,10000000,2014_avg,807625.0,382385.0,425240.0,544301.0,263324.0,174226.0,633400.0,158214.0,476822.0,172588.0,78884.0
Амурская область,10000000,10000000,2015_avg,804032.0,380856.0,423176.0,542568.0,261464.0,176292.0,627739.0,160294.0,467931.0,175806.0,81104.0
Амурская область,10000000,10000000,2016_avg,799170.0,377992.0,421178.0,539264.0,259906.0,178264.0,620906.0,161898.0,458672.0,178599.0,84386.0
Амурская область,10000000,10000000,2017_avg,794736.0,375811.0,418926.0,536431.0,258306.0,179602.0,615135.0,162605.0,451700.0,180432.0,87600.0
Амурская область,10000000,10000000,2018_avg,789656.0,373481.0,416176.0,533820.0,255836.0,179879.0,609778.0,162258.0,445510.0,181888.0,90738.0
Амурская область,10000000,10000000,2019_avg,784666.0,371473.0,413192.0,531798.0,252867.0,178926.0,605740.0,160434.0,445862.0,178369.0,93636.0
Амурская область,10000000,10000000,2020_avg,778191.0,368412.0,409780.0,528589.0,249602.0,177245.0,600946.0,158079.0,446520.0,173592.0,95900.0
Амурская область,10000000,10000000,2021_avg,768631.0,363743.0,404888.0,523208.0,245422.0,174575.0,594056.0,155505.0,445854.0,167272.0,96988.0
Амурская область,10000000,10000000,2022_avg,759884.0,359462.0,400422.0,518776.0,241108.0,171564.0,588320.0,152994.0,445068.0,161822.0,98280.0
Амурская область,10000000,10000000,2023_avg,753140.0,355700.0,397440.0,515504.0,237636.0,168650.0,584490.0,150366.0,444308.0,158466.0,100674.0
Амурская область,10000000,10000000,2024_avg,751564.0,356144.0,395421.0,513852.0,237713.0,166142.0,585423.0,147096.0,449294.0,155175.0,103382.0
Архангельская область,11200000,11700000,2000,1390334.0,661578.0,728756.0,1039154.0,351180.0,337283.0,1053051.0,286716.0,849865.0,253753.0,141151.0
Архангельская область,11200000,11700000,2001,1369118.0,649416.0,719702.0,1025778.0,343340.0,321548.0,1047570.0,272483.0,847079.0,249556.0,139364.0
Архангельская область,11200000,11700000,2002,1350448.0,638487.0,711961.0,1015348.0,335100.0,307190.0,1043258.0,260853.0,840102.0,249493.0,139697.0
Архангельская область,11200000,11700000,2003,1332655.0,627772.0,704883.0,998153.0,334502.0,295493.0,1037162.0,247532.0,838791.0,246332.0,139460.0
Архангельская область,11200000,11700000,2004,1315549.0,617918.0,697631.0,982556.0,332993.0,283527.0,1032022.0,233366.0,839582.0,242601.0,143047.0
Архангельская область,11200000,11700000,2005,1299218.0,608731.0,690487.0,976651.0,322567.0,269674.0,1029544.0,221567.0,834559.0,243092.0,145983.0
Архангельская область,11200000,11700000,2006,1281838.0,598898.0,682940.0,944686.0,337152.0,255669.0,1026169.0,211660.0,826366.0,243812.0,149636.0
Архангельская область,11200000,11700000,2007,1266667.0,590491.0,676176.0,938955.0,327712.0,243974.0,1022693.0,204955.0,814379.0,247333.0,150725.0
Архангельская область,11200000,11700000,2008,1257164.0,586331.0,670833.0,936790.0,320374.0,236284.0,1020880.0,202900.0,802577.0,251687.0,152305.0
Архангельская область,11200000,11700000,2009,1246204.0,581315.0,664889.0,932485.0,313719.0,231631.0,1014573.0,202334.0,788831.0,255039.0,148462.0
Архангельская область,11200000,11700000,2010,1237493.0,577321.0,660172.0,930402.0,307091.0,230540.0,1006953.0,204388.0,771036.0,262069.0,142352.0
Архангельская область,11200000,11700000,2011,1224880.0,571811.0,653069.0,927620.0,297260.0,229366.0,995514.0,205032.0,751805.0,268043.0,137477.0
Архангельская область,11200000,11700000,2012,1204128.0,561977.0,642151.0,915118.0,289010.0,226858.0,977270.0,203337.0,728196.0,272595.0,133732.0
Архангельская область,11200000,11700000,2013,1183559.0,552354.0,631205.0,901871.0,281688.0,224964.0,958595.0,202886.0,703611.0,277062.0,134613.0
Архангельская область,11200000,11700000,2014,1163718.0,542793.0,620925.0,888524.0,275194.0,223642.0,940076.0,202798.0,679727.0,281193.0,135961.0
Архангельская область,11200000,11700000,2015,1146094.0,534277.0,611817.0,878306.0,267788.0,223266.0,922828.0,202870.0,657210.0,286014.0,137166.0
Архангельская область,11200000,11700000,2016,1127780.0,525385.0,602395.0,866983.0,260797.0,223302.0,904478.0,203699.0,633717.0,290364.0,142078.0
Архангельская область,11200000,11700000,2017,1110597.0,516901.0,593696.0,855383.0,255214.0,223144.0,887453.0,203956.0,613005.0,293636.0,145918.0
